Rok,Producent,Model,Pojemnosc,Ilosc Cylindrow,Spalanie Miasto,Spalanie Autostrada,Spalanie Mieszane
2018,ALFA ROMEO,4C,2,4,24,34,28
2018,Aston Martin Lagonda Ltd,V12 Vantage S,6,12,12,18,14
2018,Aston Martin Lagonda Ltd,V8 Vantage,5,8,14,21,16
2018,Aston Martin Lagonda Ltd,V8 Vantage,5,8,13,19,15
2018,Aston Martin Lagonda Ltd,V8 Vantage S,5,8,14,21,16
2018,Aston Martin Lagonda Ltd,V8 Vantage S,5,8,13,19,15
2018,Aston Martin Lagonda Ltd,Vantage GT,5,8,14,21,16
2018,Aston Martin Lagonda Ltd,Vantage GT,5,8,13,19,15
2018,Audi,TT Roadster quattro,2,4,23,30,26
2018,BMW,M4 GTS,3,6,16,23,19
2018,BMW,Z4 sDrive28i,2,4,22,33,26
2018,BMW,Z4 sDrive28i,2,4,22,34,26
2018,BMW,Z4 sDrive35i,3,6,17,24,20
2018,BMW,Z4 sDrive35is,3,6,17,24,20
2018,Chevrolet,CORVETTE,6,8,13,23,16
2018,Chevrolet,CORVETTE,6,8,16,29,20
2018,Chevrolet,CORVETTE,6,8,15,22,18
2018,Chevrolet,CORVETTE,6,8,17,29,21
2018,Dodge,Viper SRT,8,10,12,21,15
2018,Ferrari,488 GTB,4,8,15,22,18
2018,Ferrari,488 GTB,4,8,16,22,18
2018,Ferrari,F12,6,12,11,16,13
2018,Ferrari,F12,6,12,12,16,13
2018,Ferrari,F12 tdf,6,12,12,17,13
2018,Ferrari,F12 tdf,6,12,11,15,12
2018,Ferrari,F60 America,6,12,12,15,13
2018,Ferrari,F60 America,6,12,11,15,13
2018,Honda,CR-Z,2,4,36,39,37
2018,Honda,CR-Z,2,4,31,38,34
2018,Jaguar,F-TYPE Convertible,3,6,19,28,22
2018,Jaguar,F-TYPE Convertible Manual,3,6,16,24,19
2018,Jaguar,F-TYPE Coupe,3,6,19,28,22
2018,Jaguar,F-TYPE Coupe Manual,3,6,16,24,19
2018,Jaguar,F-TYPE R AWD Convertible,5,8,15,23,18
2018,Jaguar,F-TYPE R AWD Coupe,5,8,15,23,18
2018,Jaguar,F-TYPE R Convertible,5,8,16,23,18
2018,Jaguar,F-TYPE S AWD Convertible,3,6,18,26,21
2018,Jaguar,F-TYPE S AWD Coupe,3,6,18,26,21
2018,Jaguar,F-TYPE S Convertible,3,6,19,27,22
2018,Jaguar,F-TYPE S Convertible Manual,3,6,15,24,18
2018,Jaguar,F-TYPE S Coupe,3,6,19,27,22
2018,Jaguar,F-TYPE S Coupe Manual,3,6,15,24,18
2018,Lamborghini,Aventador Coupe,6,12,11,18,13
2018,Lamborghini,Aventador Roadster,6,12,10,17,12
2018,Lamborghini,Huracan,5,10,14,21,17
2018,Lamborghini,Huracan Spyder,5,10,14,20,16
2018,MAZDA,MX-5,2,4,27,36,30
2018,MAZDA,MX-5,2,4,27,34,30
2018,McLaren,570S Coupe,4,8,16,23,19
2018,McLaren,650S Coupe,4,8,16,22,18
2018,McLaren,650S Spider,4,8,16,22,18
2018,McLaren,675LT Coupe,4,8,16,22,18
2018,Mercedes-Benz,AMG GT S,4,8,16,22,18
2018,Mercedes-Benz,AMG SL 63,6,8,16,25,19
2018,Mercedes-Benz,AMG SL 65,6,12,14,21,17
2018,Mercedes-Benz,AMG SLK 55,5,8,19,28,22
2018,Mercedes-Benz,SL 400,3,6,20,27,23
2018,Mercedes-Benz,SL 550,5,8,16,24,19
2018,Mercedes-Benz,SLK 300,2,4,25,32,28
2018,Mercedes-Benz,SLK 350,4,6,21,29,24
2018,Mercedes-Benz,Smart fortwo (COUPE),1,3,34,39,36
2018,Mercedes-Benz,Smart fortwo (COUPE),1,3,32,39,35
2018,NISSAN,370Z,4,6,19,26,21
2018,NISSAN,370Z,4,6,18,26,21
2018,NISSAN,370Z Roadster,4,6,18,25,21
2018,NISSAN,370Z Roadster,4,6,17,24,20
2018,Pagani Automobili S.p.A.,Huayra Coupe,6,12,11,17,13
2018,Porsche,911 GT3,4,6,15,20,17
2018,Porsche,911 GT3RS,4,6,14,20,16
2018,Porsche,Boxster,3,6,22,32,26
2018,Porsche,Boxster,3,6,20,30,24
2018,Porsche,Boxster GTS,3,6,22,31,25
2018,Porsche,Boxster GTS,3,6,19,26,22
2018,Porsche,Boxster S,3,6,21,30,24
2018,Porsche,Boxster S,3,6,20,28,23
2018,Porsche,Boxster Spyder,4,6,18,24,20
2018,Porsche,Cayman,3,6,22,32,26
2018,Porsche,Cayman,3,6,20,30,24
2018,Porsche,Cayman GT4,4,6,18,23,20
2018,Porsche,Cayman GTS,3,6,22,31,25
2018,Porsche,Cayman GTS,3,6,19,26,22
2018,Porsche,Cayman S,3,6,21,30,24
2018,Porsche,Cayman S,3,6,20,28,23
2018,Aston Martin Lagonda Ltd,DB9,6,12,13,19,15
2018,Aston Martin Lagonda Ltd,Vanquish,6,12,13,21,16
2018,Ferrari,California T,4,8,16,23,19
2018,Ferrari,California T,4,8,16,23,18
2018,FIAT,500,1,4,24,32,27
2018,FIAT,500,1,4,27,34,30
2018,FIAT,500,1,4,28,34,30
2018,FIAT,500,1,4,31,40,34
2018,FIAT,500 Abarth,1,4,24,32,27
2018,FIAT,500 Abarth,1,4,28,34,30
2018,Mini,Mini Cooper Convertible,2,4,27,37,31
2018,Mini,Mini Cooper Convertible,2,4,27,38,31
2018,Mini,Mini Cooper S Convertible,2,4,25,34,29
2018,Mini,Mini Cooper S Convertible,2,4,23,33,27
2018,Porsche,911 Carrera,3,6,20,28,23
2018,Porsche,911 Carrera,3,6,19,27,22
2018,Porsche,911 Carrera 4,3,6,20,28,23
